country,platform,category_url,month_latest,lookback_months,months_observed,median_spu,latest_spu,trend_ratio,trend_status
ID,LAZ,https://www.lazada.co.id/beli-kopi,2025-12,3,2.0,289.0,340.0,117.65%,normal
ID,LAZ,https://www.lazada.co.id/beli-lap-bayi-isi-ulang/,2025-12,3,2.0,312.5,400.0,128.0%,normal
ID,LAZ,https://www.lazada.co.id/beli-makanan-bayi-balita,2025-12,3,2.0,304.5,362.0,118.88%,normal
ID,LAZ,https://www.lazada.co.id/beli-makanan-minuman-beku,2025-12,3,2.0,305.0,402.0,131.8%,normal
ID,LAZ,https://www.lazada.co.id/beli-makanan-minuman-susu-kental,2025-12,3,2.0,315.5,400.0,126.78%,normal
ID,LAZ,https://www.lazada.co.id/beli-mesin-kopi,2025-12,3,2.0,284.0,307.0,108.1%,normal
ID,LAZ,https://www.lazada.co.id/beli-pembalut/,2025-12,3,2.0,311.0,334.0,107.4%,normal
ID,LAZ,https://www.lazada.co.id/beli-popok-sekali-pakai/,2025-12,3,2.0,323.0,304.0,94.12%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-bayi-0-6-bulan,2025-12,3,2.0,285.5,323.0,113.13%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-bayi-6-12-bulan,2025-12,3,2.0,197.5,228.0,115.44%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-maternal,2025-12,3,2.0,272.5,360.0,132.11%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-pertumbuhan-1-3-tahun,2025-12,3,2.0,305.0,359.0,117.7%,normal
ID,LAZ,https://www.lazada.co.id/coklat-panas,2025-12,3,2.0,309.5,354.0,114.38%,normal
ID,LAZ,https://www.lazada.co.id/jual-makanan-anjing,2025-12,3,2.0,311.5,383.0,122.95%,normal
ID,LAZ,https://www.lazada.co.id/jual-makanan-kucing,2025-12,3,2.0,312.0,335.0,107.37%,normal
ID,LAZ,https://www.lazada.co.id/jual-sampah-kucing,2025-12,3,2.0,322.5,346.0,107.29%,normal
ID,LAZ,https://www.lazada.co.id/shop-Cokelat,2025-12,3,2.0,320.0,305.0,95.31%,normal
ID,LAZ,https://www.lazada.co.id/shop-green-black-&-classic-tea,2025-12,3,2.0,256.0,325.0,126.95%,normal
ID,LAZ,https://www.lazada.co.id/shop-kapsul-kopi,2025-12,3,2.0,227.0,250.0,110.13%,normal
ID,LAZ,https://www.lazada.co.id/shop-kopi-giling,2025-12,3,2.0,312.0,406.0,130.13%,normal
ID,LAZ,https://www.lazada.co.id/shop-kopi-instan,2025-12,3,2.0,316.5,360.0,113.74%,normal
ID,LAZ,https://www.lazada.co.id/shop-kopi-siap-minum,2025-12,3,2.0,315.5,399.0,126.47%,normal
ID,LAZ,https://www.lazada.co.id/shop-makanan-kaleng,2025-12,3,2.0,340.5,353.0,103.67%,normal
ID,LAZ,https://www.lazada.co.id/shop-permen-gummy,2025-12,3,2.0,312.0,360.0,115.38%,normal
ID,LAZ,https://www.lazada.co.id/shop-permen-kunyah-permen-tali,2025-12,3,2.0,337.0,342.0,101.48%,normal
ID,LAZ,https://www.lazada.co.id/shop-permen-mint,2025-12,3,2.0,311.0,403.0,129.58%,normal
ID,LAZ,https://www.lazada.co.id/shop-sugar,2025-12,3,2.0,315.0,309.0,98.1%,normal
ID,LAZ,https://www.lazada.co.id/shop-susu-segar,2025-12,3,2.0,312.0,440.0,141.03%,normal
ID,LAZ,https://www.lazada.co.id/shop-uht-milk-ready-to-drink,2025-12,3,2.0,326.0,368.0,112.88%,normal
ID,LAZ,https://www.lazada.co.id/suplemen-kesejahteraan,2025-12,3,2.0,304.0,393.0,129.28%,normal
ID,SHP,https://shopee.co.id/Canned-Food-cat.11043451.11043557?page=0&sortBy=sales,2025-12,3,1.0,300.0,500.0,166.67%,insufficient-history
ID,SHP,https://shopee.co.id/Cat-Food-cat.11043572.11043573.11043576,2025-12,3,2.0,300.0,458.0,152.67%,normal
ID,SHP,https://shopee.co.id/Chocolate-Drinks-cat.11043451.11043502.11043505,2025-12,3,2.0,300.0,419.0,139.67%,normal
ID,SHP,https://shopee.co.id/Chocolate-cat.11043451.11043453.11043455,2025-12,3,2.0,300.0,393.0,131.0%,normal
ID,SHP,https://shopee.co.id/Coffee-cat.11043451.11043502.11043503,2025-12,3,2.0,328.5,433.0,131.81%,normal
ID,SHP,https://shopee.co.id/Dairy-Eggs-cat.11043451.11043517,2025-12,3,2.0,300.0,438.0,146.0%,normal
ID,SHP,https://shopee.co.id/Dog-Treats-cat.11043572.11043573.11043575,2025-12,3,2.0,300.0,441.0,147.0%,normal
ID,SHP,https://shopee.co.id/Fresh-Frozen-Food-cat.11043451.11043529,2025-12,3,2.0,329.5,365.0,110.77%,normal
ID,SHP,https://shopee.co.id/Health-cat.11043279,2025-12,3,2.0,300.0,248.0,82.67%,normal
ID,SHP,https://shopee.co.id/Litter-Toilet-cat.11043572.11043596,2025-12,3,2.0,300.0,259.0,86.33%,normal
ID,SHP,https://shopee.co.id/Maternity-Milk-cat.11043350.11043385.11043386,2025-12,3,2.0,300.0,307.0,102.33%,normal
ID,SHP,https://shopee.co.id/Mesin-Kopi-Aksesoris-cat.11044258.11044294.11044300,2025-12,3,2.0,300.0,402.0,134.0%,normal
ID,SHP,https://shopee.co.id/Milk-Formula-Baby-Food-cat.11043350.11043428,2025-12,3,2.0,300.0,272.0,90.67%,normal
ID,SHP,https://shopee.co.id/Milk-Formula-cat.11043350.11043428.11043429,2025-12,3,2.0,300.0,455.0,151.67%,normal
ID,SHP,https://shopee.co.id/Popok-Sekali-Pakai-cat.11043350.11043433.11043436,2025-12,3,2.0,324.5,304.0,93.68%,normal
ID,SHP,https://shopee.co.id/Sanitary-Napkins-Panty-Liners-cat.11043279.11043331.11043332,2025-12,3,2.0,322.5,429.0,133.02%,normal
ID,SHP,https://shopee.co.id/Sweets-Candy-cat.11043451.11043453.11043454,2025-12,3,2.0,300.0,439.0,146.33%,normal
ID,SHP,https://shopee.co.id/Tisu-cat.11043350.11043390.11043394,2025-12,3,2.0,303.0,295.0,97.36%,normal
ID,SHP,https://shopee.co.id/Yogurt-Cultured-Milk-cat.11043451.11043517.11043522,2025-12,3,2.0,300.0,398.0,132.67%,normal
MY,LAZ,https://www.lazada.com.my/coffee,2025-12,3,2.0,323.0,400.0,123.84%,normal
MY,LAZ,https://www.lazada.com.my/hot-chocolate,2025-12,3,2.0,320.0,400.0,125.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-baby-food-2,2025-12,3,2.0,321.0,440.0,137.07%,normal
MY,LAZ,https://www.lazada.com.my/shop-baby-wipes-refills/,2025-12,3,2.0,380.0,439.0,115.53%,normal
MY,LAZ,https://www.lazada.com.my/shop-cat-food,2025-12,3,2.0,380.0,440.0,115.79%,normal
MY,LAZ,https://www.lazada.com.my/shop-cat-litter,2025-12,3,2.0,339.0,360.0,106.19%,normal
MY,LAZ,https://www.lazada.com.my/shop-coffee-machines,2025-12,3,2.0,310.5,440.0,141.71%,normal
MY,LAZ,https://www.lazada.com.my/shop-diapers-1/,2025-12,3,2.0,352.5,334.0,94.75%,normal
MY,LAZ,https://www.lazada.com.my/shop-dog-food,2025-12,3,2.0,346.5,399.0,115.15%,normal
MY,LAZ,https://www.lazada.com.my/shop-followon-milk-formula,2025-12,3,2.0,149.0,190.0,127.52%,normal
MY,LAZ,https://www.lazada.com.my/shop-green-black-&-classic-tea,2025-12,3,2.0,320.0,395.0,123.44%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-coffeecapsules,2025-12,3,2.0,273.5,399.0,145.89%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-groundcoffee,2025-12,3,2.0,320.0,480.0,150.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-instantcoffee,2025-12,3,2.0,310.5,318.0,102.42%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-readytodrinkcoffee,2025-12,3,2.0,327.0,434.0,132.72%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-uht-milk-milk-powder-condensed-milk,2025-12,3,2.0,180.5,238.0,131.86%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-chocolate,2025-12,3,2.0,319.0,360.0,112.85%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-mints,2025-12,3,2.0,339.5,418.0,123.12%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-sweets-chewycandy,2025-12,3,2.0,315.0,430.0,136.51%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-sweets-gummysweets,2025-12,3,2.0,320.0,352.0,110.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-dairychilled-freshmilk,2025-12,3,2.0,267.5,360.0,134.58%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-foodstaplescookingessentials-cannedfood,2025-12,3,2.0,317.0,360.0,113.56%,normal
MY,LAZ,https://www.lazada.com.my/shop-groceries-frozen-convenience-foods-ready-to-eat-meals,2025-12,3,2.0,275.0,302.0,109.82%,normal
MY,LAZ,https://www.lazada.com.my/shop-growth-milk-formula,2025-12,3,2.0,320.0,440.0,137.5%,normal
MY,LAZ,https://www.lazada.com.my/shop-hb-sanitary-napkins/,2025-12,3,2.0,360.0,432.0,120.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-infant-milk-formula-2,2025-12,3,2.0,184.0,281.0,152.72%,normal
MY,LAZ,https://www.lazada.com.my/shop-maternal-milk-formula-2,2025-12,3,2.0,80.0,93.0,116.25%,normal
MY,LAZ,https://www.lazada.com.my/shop-milk-formula-tailored-nutrition,2025-12,3,2.0,206.0,256.0,124.27%,normal
MY,LAZ,https://www.lazada.com.my/shop-senior-health/?spm=a2o4k.pdp_revamp.breadcrumb.2.63081a9aARLUNN,2025-12,3,1.0,400.0,400.0,100.0%,insufficient-history
MY,LAZ,https://www.lazada.com.my/shop-sugar,2025-12,3,2.0,294.5,360.0,122.24%,normal
MY,LAZ,https://www.lazada.com.my/shop-toddler-milk,2025-12,3,2.0,320.0,400.0,125.0%,normal
MY,LAZ,https://www.lazada.com.my/shop-uht-milk-ready-to-drink,2025-12,3,2.0,316.0,359.0,113.61%,normal
MY,LAZ,https://www.lazada.com.my/shop-well-being,2025-12,3,2.0,317.5,400.0,125.98%,normal
MY,SHP,https://shopee.com.my/Adult-Diapers-cat.11000168.11000272.11000279,2025-12,3,1.0,300.0,449.0,149.67%,insufficient-history
MY,SHP,https://shopee.com.my/Canned-Packed-Food-cat.11000003.11000035,2025-12,3,2.0,300.0,441.0,147.0%,normal
MY,SHP,https://shopee.com.my/Cat-Food-Treats-cat.11000003.11000125.11000127,2025-12,3,2.0,300.0,437.0,145.67%,normal
MY,SHP,https://shopee.com.my/Chocolate-Malt-cat.11000003.11000091.11000092,2025-12,3,2.0,300.0,345.0,115.0%,normal
MY,SHP,https://shopee.com.my/Chocolate-cat.11000003.11000010.11000012,2025-12,3,2.0,300.0,411.0,137.0%,normal
MY,SHP,https://shopee.com.my/Coffee-Machines-and-Accessories-cat.11000824.11000861.11000864,2025-12,3,2.0,300.0,351.0,117.0%,normal
MY,SHP,https://shopee.com.my/Coffee-Tea-cat.11000003.11000069,2025-12,3,2.0,300.0,453.0,151.0%,normal
MY,SHP,https://shopee.com.my/Disposable-Diapers-cat.11000345.11000397.11000402,2025-12,3,2.0,300.0,339.0,113.0%,normal
MY,SHP,https://shopee.com.my/Dog-Food-Treats-cat.11000003.11000125.11000126,2025-12,3,2.0,300.0,439.0,146.33%,normal
MY,SHP,https://shopee.com.my/Formula-Food-cat.11000345.11000422,2025-12,3,2.0,300.0,423.0,141.0%,normal
MY,SHP,https://shopee.com.my/Fresh-Frozen-Food-cat.11000003.11000099,2025-12,3,2.0,300.0,387.0,129.0%,normal
MY,SHP,https://shopee.com.my/Infant-Milk-(0-6-months)-cat.11000345.11000422.11000425,2025-12,3,2.0,270.5,308.0,113.86%,normal
MY,SHP,https://shopee.com.my/Maternal-Milk-cat.11000345.11000422.11000424,2025-12,3,2.0,202.5,371.0,183.21%,normal
MY,SHP,https://shopee.com.my/Pet-Toilets-Litters-Pads-cat.11000003.11000125.11000138,2025-12,3,2.0,300.0,324.0,108.0%,normal
MY,SHP,https://shopee.com.my/Sanitary-Napkins-Panty-Liners-cat.11000168.11000272.11000280,2025-12,3,1.0,300.0,458.0,152.67%,insufficient-history
MY,SHP,https://shopee.com.my/Sweets-Candies-cat.11000003.11000010.11000011,2025-12,3,2.0,300.0,443.0,147.67%,normal
MY,SHP,https://shopee.com.my/Well-being-cat.11000168.11000338.11000342,2025-12,3,2.0,300.0,436.0,145.33%,normal
MY,SHP,https://shopee.com.my/Wipes-Refills-cat.11000345.11000385.11000393,2025-12,3,2.0,300.0,443.0,147.67%,normal
MY,SHP,https://shopee.com.my/Yogurt-Drinks-cat.11000003.11000079.11000090,2025-12,3,2.0,250.5,393.0,156.89%,normal
PH,LAZ,ANTACIDS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,AUTOMATIC DISHWASHING DETERGENTS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,CONDOMS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,DISINFECTANT AEROSOL,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,HAIR REMOVAL,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,LUBRICANTS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,MILK POWDER FOR ADULTS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,MILK POWDER FOR INFANTS AND CHILDREN,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,MULTI-ACTION CLEANER,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,MULTI-INSECT KILLER SPRAY INSECTICIDE,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,PHARYNGEAL PREPARATIONS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,READY-TO-DRINK MILK,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,SEX TOYS,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,TOILET BOWL CLEANER,2025-12,3,0.0,0.0,320.0,-,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-baby-wipes-refills/,2025-12,3,2.0,315.5,392.0,124.25%,normal
PH,LAZ,https://www.lazada.com.ph/shop-disposable-diapers/,2025-12,3,2.0,319.5,402.0,125.82%,normal
PH,LAZ,https://www.lazada.com.ph/shop-eye-ear-nose-throat-care/?spm=a2o4l.pdp_revamp.breadcrumb.4.6b922254FVpAhg,2025-12,3,1.0,320.0,361.0,112.81%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-groceries-beverages-uht-milk-milk-powder-milk-powder/?spm=a2o4l.pdp_revamp.breadcrumb.4.4ac14f719pvuss,2025-12,3,1.0,314.0,409.0,130.25%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-groceries-household-cleaning-bathroomtoilet-toiletcleaners/?spm=a2o4l.pdp_revamp.breadcrumb.4.4d877b9cPWLnLx,2025-12,3,1.0,320.0,436.0,136.25%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-groceries-laundry-household-cleaning-multipurpose-cleaner/?spm=a2o4l.pdp_revamp.breadcrumb.3.4b9b7a6exN8nFb,2025-12,3,1.0,324.0,440.0,135.8%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-groceries-laundry-household-dishwashing-automatic-dishwashing/?spm=a2o4l.pdp_revamp.breadcrumb.5.35e33fc9CgKENX,2025-12,3,1.0,110.0,112.0,101.82%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-growth-milk-formula/?spm=a2o4l.pdp_revamp.breadcrumb.4.5b652fc9C4fwQn,2025-12,3,1.0,256.0,440.0,171.88%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-hair-removal/?spm=a2o4l.pdp_revamp.breadcrumb.4.154465d5tVUpvO,2025-12,3,1.0,324.0,415.0,128.09%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-healthbeauty-medicalsupplies-firstaidsupplies-antisepticsdisinfectants/?spm=a2o4l.pdp_revamp.breadcrumb.4.542a167ecy3jCf,2025-12,3,1.0,320.0,338.0,105.62%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-indigestion-heartburn-medicine/?spm=a2o4l.pdp_revamp.breadcrumb.4.6ebe3f2cE1zwfA,2025-12,3,1.0,120.0,170.0,141.67%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-insecticide-sprays-devices-&-coils/?spm=a2o4l.pdp_revamp.breadcrumb.3.7a667c8fHNRgRc,2025-12,3,1.0,320.0,454.0,141.88%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-personal-pleasure-lubricants/?spm=a2o4l.pdp_revamp.breadcrumb.3.37bd174ePXHJsB,2025-12,3,1.0,320.0,399.0,124.69%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-personal-pleasure-sensual-toys/?spm=a2o4l.pdp_revamp.breadcrumb.3.12f129d1zWV6LB,2025-12,3,1.0,320.0,440.0,137.5%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-safer-sex-&-contraception-products/?spm=a2o4l.pdp_revamp.breadcrumb.3.3f5c67e0E0uQhz,2025-12,3,1.0,324.0,405.0,125.0%,insufficient-history
PH,LAZ,https://www.lazada.com.ph/shop-sanitary-napkins/,2025-12,3,2.0,319.0,397.0,124.45%,normal
PH,LAZ,https://www.lazada.com.ph/shop-uht-milk-ready-to-drink/?spm=a2o4l.pdp_revamp.breadcrumb.4.2b80379d3kRMGK,2025-12,3,1.0,320.0,440.0,137.5%,insufficient-history
PH,SHP,ANTACIDS,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,AUTOMATIC DISHWASHING DETERGENTS,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,CONDOMS,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,DISINFECTANT AEROSOL,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,HAIR REMOVAL,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,LUBRICANTS,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,MILK POWDER FOR ADULTS,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,MILK POWDER FOR INFANTS AND CHILDREN,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,MULTI-ACTION CLEANER,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,MULTI-INSECT KILLER SPRAY INSECTICIDE,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,PHARYNGEAL PREPARATIONS,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,READY-TO-DRINK MILK,2025-12,3,0.0,0.0,349.0,-,insufficient-history
PH,SHP,SEX TOYS,2025-12,3,0.0,0.0,334.0,-,insufficient-history
PH,SHP,https://shopee.ph/Adult-Toys-cat.11021260.11021341.11021343,2025-12,3,1.0,300.0,462.0,154.0%,insufficient-history
PH,SHP,https://shopee.ph/Candy-cat.11021197.11021224.11021226,2025-12,3,1.0,300.0,408.0,136.0%,insufficient-history
PH,SHP,https://shopee.ph/Chocolates-cat.11021197.11021224.11021227,2025-12,3,1.0,300.0,414.0,138.0%,insufficient-history
PH,SHP,https://shopee.ph/Cleaning-Soap-cat.11021197.11021207.11021208,2025-12,3,1.0,300.0,459.0,153.0%,insufficient-history
PH,SHP,https://shopee.ph/Condoms-cat.11021260.11021341.11021342,2025-12,3,1.0,300.0,451.0,150.33%,insufficient-history
PH,SHP,https://shopee.ph/Disposable-Diaper-cat.11021766.11021769.11021771,2025-12,3,2.0,329.5,465.0,141.12%,normal
PH,SHP,https://shopee.ph/Feminine-Care-cat.11021260.11021293.11021298,2025-12,3,2.0,300.0,444.0,148.0%,normal
PH,SHP,https://shopee.ph/Growing-Up-Milk-(3-years-)-cat.11021766.11021780.11021802,2025-12,3,1.0,300.0,418.0,139.33%,insufficient-history
PH,SHP,https://shopee.ph/Hair-Removal-cat.11021260.11021293.11021295,2025-12,3,1.0,300.0,433.0,144.33%,insufficient-history
PH,SHP,https://shopee.ph/Lubricants-cat.11021260.11021341.11021344,2025-12,3,1.0,300.0,451.0,150.33%,insufficient-history
PH,SHP,https://shopee.ph/Milk-Powder-cat.11021197.11021200.11044675,2025-12,3,1.0,300.0,448.0,149.33%,insufficient-history
PH,SHP,https://shopee.ph/Over-the-Counter-Medicine-cat.11021260.11021330.11021339,2025-12,3,1.0,300.0,343.0,114.33%,insufficient-history
PH,SHP,https://shopee.ph/Pet-Food-Treats-cat.11021881.11021884,2025-12,3,1.0,300.0,423.0,141.0%,insufficient-history
PH,SHP,https://shopee.ph/Rodent-Insect-Control-cat.11021407.11021568.11021570,2025-12,3,1.0,300.0,426.0,142.0%,insufficient-history
PH,SHP,https://shopee.ph/Wipes-cat.11021766.11021769.11021777,2025-12,3,2.0,300.0,424.0,141.33%,normal
